conc,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
0,0.0937058,0.099571,0.0968383,0.0954325,0.0959853,0.103078,0.143985,0.303048,0.466708,0.621587,0.675103,0.686739
0,0.0986716,0.0967466,0.0931527,0.0928105,0.0928097,0.101382,0.151688,0.317909,0.472697,0.60763,0.624373,0.650943
0,0.0944454,0.101329,0.099068,0.0973683,0.0978795,0.103691,0.148902,0.336322,0.483888,0.619382,0.661004,0.684373
0,0.095342,0.0969897,0.094989,0.0936277,0.0937153,0.100207,0.142853,0.307996,0.418767,0.613959,0.649578,0.651863
0,0.0969609,0.104196,0.0990886,0.0965753,0.0965944,0.101179,0.141095,0.334471,0.563912,0.673419,0.663947,0.673982
0,0.0964243,0.0973147,0.0954948,0.0950661,0.0950537,0.102563,0.145049,0.278012,0.436165,0.59446,0.628577,0.643555
1.6,0.089947,0.0859844,0.0842229,0.0835441,0.0835371,0.088835,0.127526,0.279336,0.408464,0.49062,0.565183,0.620972
1.6,0.0919508,0.0855126,0.0841446,0.0840796,0.084644,0.0891191,0.120882,0.279715,0.412053,0.526727,0.586669,0.618855
1.6,0.0905163,0.0851023,0.0843738,0.0834368,0.0837224,0.0917189,0.127276,0.285497,0.399821,0.517361,0.629652,0.639075
1.6,0.0920385,0.0854158,0.0841438,0.0845964,0.0851454,0.0909752,0.131323,0.358019,0.555055,0.606127,0.60924,0.62549
1.6,0.0930833,0.0862193,0.0854988,0.0842381,0.0844866,0.0894937,0.126803,0.22683,0.426821,0.555827,0.615644,0.60324
1.6,0.0921078,0.0852524,0.0835242,0.0820455,0.0822301,0.0874006,0.130373,0.229165,0.350469,0.443853,0.540691,0.589428
0.8,0.0903185,0.0867177,0.0848995,0.0847288,0.0853255,0.0934161,0.138462,0.314317,0.559969,0.629973,0.658188,0.668684
0.8,0.0919475,0.085614,0.0839642,0.0846601,0.0849656,0.0925621,0.13086,0.261233,0.394317,0.528603,0.621398,0.613491
0.8,0.0922324,0.0862493,0.0856642,0.0832889,0.0841224,0.0906661,0.124266,0.245466,0.484829,0.646514,0.673832,0.628144
0.8,0.0925666,0.0849006,0.0834722,0.0832035,0.0834496,0.0882063,0.122934,0.284934,0.416718,0.584906,0.626662,0.64794
0.8,0.092603,0.0863212,0.0852401,0.0841396,0.0843774,0.0909809,0.135386,0.303447,0.446193,0.536882,0.61876,0.620883
0.8,0.0934081,0.0850396,0.082873,0.0819655,0.0815549,0.0868601,0.133254,0.257199,0.357341,0.434413,0.512669,0.561208
0.4,0.090127,0.0864826,0.087678,0.0854399,0.0867221,0.094109,0.129293,0.257483,0.420081,0.549023,0.621353,0.639351
0.4,0.0904294,0.084608,0.0835237,0.0834859,0.0839629,0.0904319,0.127577,0.292715,0.397167,0.526517,0.612552,0.633331
0.4,0.0920642,0.0862879,0.086838,0.0847131,0.085617,0.0922023,0.142244,0.35961,0.486129,0.576875,0.629101,0.633059
0.4,0.0921543,0.0857339,0.0839913,0.0832081,0.0836225,0.0893407,0.123515,0.23488,0.341732,0.497779,0.616603,0.600278
0.4,0.0939778,0.0867456,0.0860555,0.0852737,0.085768,0.0915352,0.130105,0.247314,0.378241,0.545105,0.61285,0.606452
0.4,0.093216,0.0854697,0.0841064,0.083348,0.0837714,0.0898065,0.130535,0.28092,0.420862,0.541598,0.615297,0.601958
0.2,0.0910168,0.0866139,0.0871695,0.0869456,0.0853306,0.0918814,0.134425,0.276271,0.474123,0.560874,0.587559,0.593069
0.2,0.0902551,0.0846972,0.0836118,0.0828113,0.0837595,0.0908944,0.122873,0.244165,0.395007,0.508861,0.555216,0.565926
0.2,0.0918926,0.0850256,0.0844159,0.0842554,0.0840335,0.0888153,0.127804,0.261566,0.352606,0.478246,0.569217,0.570882
0.2,0.0924186,0.0854604,0.0838685,0.0826154,0.0828037,0.0898573,0.123086,0.244517,0.356226,0.493154,0.628982,0.663424
0.2,0.0933621,0.0864279,0.0855026,0.0847405,0.0847114,0.0907629,0.131044,0.28182,0.408463,0.566699,0.597371,0.601238
0.2,0.0938,0.087304,0.0858685,0.08491,0.0847686,0.0884311,0.114298,0.21995,0.338727,0.47344,0.597332,0.627047
0.1,0.0900089,0.0847943,0.0845986,0.0841352,0.0853186,0.0895439,0.127602,0.32525,0.436714,0.554218,0.581208,0.580053
0.1,0.0906914,0.0853333,0.0843075,0.0838727,0.0839994,0.0886556,0.124041,0.245866,0.448442,0.57452,0.615886,0.620959
0.1,0.09163,0.0865883,0.085505,0.0851561,0.0863874,0.0929102,0.141111,0.357177,0.554282,0.615688,0.627366,0.621202
0.1,0.0925904,0.0860061,0.0840271,0.0835878,0.0835133,0.0874082,0.124248,0.282668,0.496836,0.587516,0.633182,0.653421
0.1,0.0928688,0.0861987,0.0854637,0.0851851,0.0861403,0.0932442,0.135991,0.306826,0.432219,0.57262,0.585068,0.607296
0.1,0.0953545,0.0871625,0.0857854,0.0848879,0.0853279,0.0915851,0.144849,0.352841,0.481771,0.633822,0.6447,0.652257
0.05,0.092602,0.0892969,0.0890675,0.0901511,0.0909901,0.0986683,0.135064,0.299667,0.463108,0.588082,0.663118,0.69547
0.05,0.0916899,0.0863193,0.0847358,0.0840512,0.0844666,0.0890928,0.12576,0.324237,0.459856,0.607475,0.60727,0.647309
0.05,0.0923111,0.0905646,0.0865384,0.0855652,0.0853796,0.092202,0.134444,0.268455,0.398668,0.528682,0.634721,0.648936
0.05,0.0915351,0.0854135,0.0836397,0.0826234,0.0832222,0.089107,0.131647,0.33875,0.516858,0.585378,0.615365,0.620706
0.05,0.0934991,0.087082,0.0863506,0.0871735,0.0884412,0.0951325,0.136689,0.362773,0.516026,0.571318,0.627062,0.614309
0.05,0.0932431,0.085193,0.0834257,0.0826041,0.0825037,0.0860142,0.113657,0.268934,0.395122,0.55012,0.623037,0.639732
0.025,0.0895191,0.123094,0.118545,0.116088,0.115748,0.12001,0.157837,0.327416,0.54148,0.617425,0.61312,0.611053
0.025,0.091104,0.121613,0.123064,0.125438,0.123626,0.127696,0.168349,0.330833,0.437628,0.515825,0.645474,0.657552
0.025,0.0936555,0.122935,0.118852,0.116992,0.116442,0.121956,0.167611,0.29127,0.400934,0.545533,0.61436,0.664494
0.025,0.0932104,0.0908267,0.0854911,0.0845303,0.085186,0.0930917,0.137514,0.294988,0.426047,0.509632,0.576716,0.589198
0.025,0.093958,0.0952601,0.0954971,0.0900141,0.0898326,0.0969934,0.132993,0.262718,0.401927,0.579159,0.660467,0.661029
0.025,0.093643,0.0872567,0.0858262,0.0851088,0.0851045,0.0912181,0.133076,0.2946,0.46647,0.537332,0.593388,0.617101
