conc,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
0,0.0935376,0.101294,0.10109,0.100186,0.100542,0.100973,0.129879,0.245995,0.530073,0.649311,0.690685,0.68328
0,0.0972356,0.104329,0.103179,0.101524,0.101474,0.104436,0.135445,0.303718,0.479164,0.612049,0.671444,0.687271
0,0.0946381,0.124964,0.123807,0.122235,0.122415,0.123989,0.147712,0.226305,0.386853,0.513949,0.664863,0.697003
0,0.0948998,0.121817,0.119025,0.117507,0.1173,0.120857,0.148215,0.233188,0.353783,0.460951,0.596275,0.637838
0,0.0896919,0.0989267,0.0963832,0.0952829,0.0956402,0.0991681,0.130683,0.259711,0.405865,0.568037,0.646836,0.689554
0,0.0893029,0.0919693,0.0904457,0.0902065,0.0903947,0.0953283,0.128849,0.218749,0.423448,0.57912,0.674604,0.676807
0.78,0.0894209,0.0816398,0.0799637,0.0792921,0.0791339,0.0821008,0.112286,0.193509,0.368627,0.501268,0.567816,0.588677
0.78,0.0918517,0.0843118,0.083641,0.0832925,0.0842005,0.0886727,0.121926,0.226646,0.375678,0.502814,0.605775,0.626022
0.78,0.0937247,0.0860565,0.0847864,0.0837912,0.0838443,0.0875355,0.124284,0.207261,0.414753,0.538855,0.614959,0.657123
0.78,0.0911733,0.0838763,0.0830178,0.0829141,0.083857,0.0863043,0.111385,0.222138,0.419222,0.460999,0.523559,0.563599
0.78,0.0919272,0.0849571,0.0833563,0.0824582,0.082513,0.0871966,0.126172,0.263795,0.540311,0.610759,0.635425,0.645137
0.78,0.092023,0.0833855,0.0825769,0.0826721,0.0827923,0.0863324,0.116461,0.209427,0.356503,0.440826,0.574665,0.593689
0.39,0.0914786,0.0839353,0.0823393,0.0823996,0.083265,0.0856174,0.10828,0.198693,0.374507,0.463632,0.555362,0.575799
0.39,0.0922721,0.0849465,0.0835074,0.0832632,0.0840991,0.0861355,0.108379,0.190793,0.368215,0.547588,0.638497,0.612679
0.39,0.0924942,0.0854901,0.0831532,0.0832083,0.0840798,0.0867291,0.116745,0.29597,0.51577,0.603897,0.667427,0.663877
0.39,0.0929719,0.0855392,0.0842055,0.084929,0.0843182,0.0875739,0.116725,0.237528,0.439625,0.590861,0.629731,0.61215
0.39,0.0929905,0.0852726,0.0839979,0.0839264,0.0838668,0.0870131,0.110122,0.169666,0.318836,0.504886,0.582174,0.607433
0.39,0.0929217,0.0846498,0.08268,0.0827494,0.0826431,0.0855732,0.111729,0.19027,0.323977,0.452465,0.597627,0.63181
0.195,0.091157,0.0849773,0.0841909,0.0834621,0.0854945,0.0883224,0.12062,0.232149,0.424541,0.601776,0.659503,0.673471
0.195,0.0918098,0.0844954,0.0836156,0.0827412,0.084056,0.0869076,0.11432,0.192246,0.362194,0.597938,0.634988,0.629161
0.195,0.0916432,0.0851481,0.0829415,0.0828923,0.0841828,0.0852719,0.102918,0.167957,0.303901,0.387952,0.488823,0.550137
0.195,0.092525,0.0839366,0.083294,0.0829494,0.0835217,0.0877415,0.120532,0.219427,0.356429,0.487289,0.597796,0.613984
0.195,0.0921878,0.0847074,0.083868,0.082598,0.0827999,0.0843046,0.10277,0.170961,0.330731,0.483463,0.611288,0.6551
0.195,0.0930829,0.084571,0.0831105,0.0820652,0.0820566,0.0855391,0.113311,0.183687,0.298188,0.406787,0.553702,0.58832
0.0975,0.0913548,0.0864353,0.0870662,0.0859878,0.0940448,0.0968021,0.126423,0.212598,0.4518,0.575941,0.654485,0.664536
0.0975,0.0918116,0.0850553,0.083998,0.0834511,0.0830967,0.0868684,0.116566,0.191364,0.388979,0.547666,0.60067,0.605525
0.0975,0.0926418,0.0858265,0.0843013,0.083275,0.08422,0.0869269,0.110934,0.201637,0.360436,0.493465,0.629904,0.64814
0.0975,0.0927802,0.0842919,0.0836455,0.0829252,0.0829302,0.0878112,0.126737,0.258912,0.429861,0.592844,0.63629,0.665528
0.0975,0.0931126,0.0854713,0.0847231,0.083978,0.0840289,0.0862762,0.112484,0.19538,0.346356,0.549745,0.610205,0.611333
0.0975,0.0949672,0.0868161,0.0852478,0.0845041,0.0842323,0.0849883,0.0981391,0.15579,0.322462,0.481109,0.589067,0.610958
0.04875,0.0926382,0.0886865,0.0853603,0.0842359,0.083911,0.0890828,0.131893,0.293205,0.538195,0.665038,0.680795,0.696613
0.04875,0.0929706,0.0856037,0.0848647,0.085778,0.0841232,0.0867997,0.112927,0.192304,0.318112,0.481815,0.605651,0.631057
0.04875,0.0924277,0.085779,0.0836875,0.0834156,0.0835962,0.0875367,0.1133,0.232291,0.504848,0.607825,0.628178,0.659536
0.04875,0.0927239,0.0845778,0.0842164,0.083369,0.0827933,0.0855908,0.107318,0.195289,0.408242,0.540475,0.622965,0.619783
0.04875,0.0930293,0.0850115,0.0843798,0.0838408,0.0841782,0.0876712,0.113493,0.192874,0.331815,0.461476,0.617204,0.629542
0.04875,0.0943021,0.0858226,0.0844256,0.0833209,0.0829359,0.0854021,0.109362,0.180156,0.31824,0.419746,0.522103,0.600989
0.024,0.0925291,0.0885203,0.0853145,0.0848448,0.0842277,0.0882976,0.118996,0.221834,0.381116,0.506903,0.632094,0.663857
0.024,0.0959722,0.0870722,0.0860837,0.0856768,0.085836,0.0898725,0.116042,0.208532,0.401165,0.518433,0.598602,0.615297
0.024,0.0926265,0.0854747,0.0846318,0.0846917,0.0841731,0.0879396,0.113531,0.250702,0.484756,0.61333,0.657793,0.660432
0.024,0.0933251,0.0846355,0.0834381,0.0830619,0.0832514,0.0854949,0.109208,0.200494,0.374027,0.519111,0.634666,0.671172
0.024,0.0934166,0.0861965,0.0854238,0.0864286,0.0855706,0.0901525,0.111606,0.227583,0.418882,0.587689,0.641825,0.65894
0.024,0.0937432,0.0851186,0.083295,0.0828688,0.083037,0.085794,0.112768,0.175144,0.332983,0.450476,0.564183,0.623553
0.012,0.0929528,0.111624,0.109234,0.108821,0.10933,0.11215,0.14393,0.251579,0.411694,0.53863,0.665375,0.657373
0.012,0.0929382,0.114754,0.11683,0.121243,0.124121,0.124161,0.14904,0.237401,0.426228,0.558288,0.654922,0.659445
0.012,0.0939159,0.120888,0.119168,0.117768,0.119043,0.121187,0.148539,0.287773,0.512455,0.656733,0.690381,0.691865
0.012,0.094335,0.0883739,0.0893064,0.091932,0.096591,0.0971069,0.113046,0.176338,0.338934,0.45784,0.57974,0.647429
0.012,0.102,0.0964392,0.0930212,0.0931881,0.0960018,0.10101,0.134148,0.226531,0.370497,0.476427,0.583581,0.642032
0.012,0.0936889,0.0846117,0.0842536,0.0839631,0.084601,0.0879297,0.11774,0.209797,0.441979,0.625281,0.654949,0.652898
