Plate,Amp_E.coli_1e4,Amp_Coliform_1e4,Amp_E.coli_1e5,Amp_Coliform_1e5,Azi_E.coli_1e4,Azi_Coliform_1e4,Azi_E.coli_1e5,Azi_Coliform_1e5,Cef_E.coli_1e4,Cef_Coliform_1e4,Cef_E.coli_1e5,Cef_Coliform_1e5,Cip_E.coli_1e4,Cip_Coliform_1e4,Cip_E.coli_1e5,Cip_Coliform_1e5,Gen_E.coli_1e4,Gen_Coliform_1e4,Gen_E.coli_1e5,Gen_Coliform_1e5,Tet_E.coli_1e4,Tet_Coliform_1e4,Tet_E.coli_1e5,Tet_Coliform_1e5,Plain_E.coli_1e5,Plain_Coliform_1e5,Plain_E.coli_1e6,Plain_Coliform_1e6
D_1 R1,,,14,7,17,76,,,9,0,,,5,3,,,,,60,1,82,61,,,105,26,,
D_1 R2,,,29,7,12,59,,,4,0,,,9,0,,,,,78,16,89,64,,,110,22,,
D_2 R1,,,5,75,21,83,,,,,2,18,30,308,,,366,192,,,164,198,,,99,142,,
D_2 R2,,,3,58,21,88,,,,,2,19,17,187,,,414,124,,,113,209,,,109,112,,
D_3 R1,189,746,,,,,18,62,17,3,,,12,2,,,,,64,2,,,10,53,96,95,,
D_3 R2,162,680,,,,,16,72,15,2,,,10,3,,,,,83,14,,,4,47,87,107,,
D_4 R1,,,9,127,49,204,,,4,0,,,21,1,,,,,44,61,15,2,,,117,97,,
D_4 R2,,,3,189,37,219,,,3,0,,,27,4,,,,,39,57,36,1,,,83,74,,
D_5 R1,,,102,20,12,231,,,1,0,,,72,5,,,,,89,21,124,1,,,147,164,,
D_5 R2,,,136,32,13,187,,,0,0,,,74,1,,,,,93,8,125,2,,,169,54,,
M_1 R1,,,1,3,,,2,13,1,13,,,16,5,,,,,32,1,3,0,,,,,1,3
M_1 R2,,,2,5,,,0,3,2,0,,,1,3,,,,,47,1,3,1,,,,,13,0
M_2 R1,91,141,,,5,43,,,6,10,,,16,16,,,,,74,4,32,12,,,55,15,,
M_2 R2,266,99,,,15,50,,,20,4,,,18,36,,,,,81,6,41,12,,,72,9,,
M_3 R1,87,276,,,,,10,20,55,0,,,16,29,,,,,123,6,51,3,,,200,32,,
M_3 R2,76,280,,,,,7,21,27,0,,,0,7,,,,,119,2,23,4,,,182,36,,
M_4 R1,412,132,,,1,75,,,14,0,,,0,164,,,,,190,5,,,50,9,,,23,3
M_4 R2,280,148,,,3,66,,,32,0,,,6,170,,,,,228,12,,,23,9,,,78,20
M_5 R1,109,56,,,24,56,,,0,54,,,5,65,,,,,95,4,101,29,,,131,20,,
M_5 R2,106,70,,,12,59,,,0,57,,,7,130,,,,,93,1,185,28,,,93,18,,
17B_1 R1,,,11,16,0,72,,,1,15,,,29,19,,,,,25,12,42,21,,,,,10,2
17B_1 R2,,,48,72,5,45,,,3,17,,,26,19,,,,,25,5,34,12,,,,,20,15
17B_2 R1,,,64,33,,,4,33,19,6,,,,,10,1,,,31,0,,,18,5,,,15,9
17B_2 R2,,,77,37,,,4,31,28,8,,,,,14,3,,,61,2,,,21,3,,,10,7
17B_3 R1,146,522,,,12,41,,,6,0,,,6,10,,,,,61,13,75,0,,,,,36,13
17B_3 R2,121,492,,,19,85,,,8,0,,,13,6,,,,,53,18,69,1,,,,,35,14
17B_4 R1,,,28,2,8,2,,,2,4,,,61,13,,,,,195,1,89,3,,,,,10,1
17B_4 R2,,,24,1,35,19,,,6,11,,,56,21,,,,,55,0,59,3,,,,,16,4
17B_5 R1,120,22,,,16,5,,,0,1,,,16,1,,,,,33,3,73,2,,,124,20,,
17B_5 R2,103,45,,,15,2,,,1,0,,,21,0,,,,,49,5,57,1,,,87,26,,
0_1 R1,,,67,615,,,6,139,1,0,,,17,5,,,,,56,95,27,0,,,,,14,26
0_1 R2,,,5,169,,,9,128,0,0,,,13,4,,,,,53,106,30,0,,,,,11,23
0_2 R1,,,10,61,29,115,,,3,0,,,17,0,,,,,81,10,5,3,,,145,66,,
0_2 R2,,,3,36,13,57,,,5,0,,,13,2,,,,,77,4,17,4,,,98,42,,
0_3 R1,,,35,136,,,21,40,20,519,,,41,536,,,,,125,48,,,48,55,,,28,16
0_3 R2,,,33,156,,,14,45,3,513,,,50,538,,,,,131,71,,,32,53,,,27,21
0_4 R1,,,35,169,,,0,39,1,2,,,7,8,,,,,51,522,21,0,,,64,124,,
0_4 R2,,,43,182,,,1,49,1,1,,,3,4,,,,,39,165,39,2,,,68,179,,
0_5 R1,,,10,401,,,3,320,6,6,,,18,3,,,,,44,148,66,5,,,,,9,59
0_5 R2,,,7,354,,,4,284,10,4,,,26,13,,,,,40,150,62,11,,,,,7,71
